"","B2Bcontrolrep1","B2Bcontrolrep2","B2BNicotine125rep1","B2BNicotine125rep2","B2BNicotine250rep1","B2BNicotine250rep2","Hcontrolrep1","Hcontrolrep2","Hcontrol125rep1","Hcontrol125rep2","Hcontrol250rep1","Hcontrol250rep2"
"ENSG00000186891",0,1,1,0,0,0,0,0,0,0,0,2
"ENSG00000186827",0,0,0,0,0,0,0,1,0,1,6,0
"ENSG00000078808",5101,8179,6768,7474,7567,11829,5998,7866,11422,8437,11919,14837
"ENSG00000176022",1002,1688,1312,1611,1404,2289,1414,1895,2652,1994,2645,3561
"ENSG00000184163",6,14,7,4,3,15,10,9,18,6,14,23
"ENSG00000260179",7,3,2,3,0,7,3,4,10,6,1,2
"ENSG00000160087",1923,3343,2721,3096,2631,4745,2734,3368,4426,3254,4403,5362
"ENSG00000230415",0,0,2,3,0,4,1,3,1,1,10,11
"ENSG00000162572",41,66,35,43,33,85,42,28,46,29,94,124
"ENSG00000131584",579,910,779,889,866,1505,764,890,1324,942,1435,1666
"ENSG00000278073",0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000169972",628,995,861,951,760,1446,567,767,1032,699,995,1303
"ENSG00000127054",3010,4718,3725,4139,3686,6107,2959,3888,5272,3912,5569,6946
"ENSG00000283712",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240731",27,39,27,29,24,46,33,28,44,33,51,44
"ENSG00000224051",1645,2536,2094,2284,1808,3123,1673,2214,2820,1984,3123,3892
"ENSG00000169962",5,11,22,12,7,24,21,25,45,25,39,66
"ENSG00000107404",2656,4116,3288,3558,3159,5363,2439,3189,4127,2850,4487,5575
"ENSG00000284372",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162576",26,53,32,49,47,96,30,31,53,32,91,82
"ENSG00000175756",3963,6226,5524,6012,5218,8563,3813,5156,6841,5194,6714,8400
"ENSG00000223663",0,0,0,1,0,0,0,0,1,0,0,0
"ENSG00000221978",1054,1696,1217,1273,1129,2373,1179,1415,2443,1414,2778,2835
"ENSG00000224870",710,1161,845,866,739,1278,578,805,1202,869,1372,1634
"ENSG00000242485",1706,2846,2480,2567,2001,3604,1881,2369,3279,2407,3269,3820
"ENSG00000264293",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272455",29,30,22,28,15,48,30,32,59,44,48,63
"ENSG00000235098",1,0,2,1,0,2,4,2,9,7,10,15
"ENSG00000225905",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000205116",0,0,0,0,0,1,0,0,0,1,0,0
"ENSG00000225285",0,0,0,1,0,0,0,1,1,0,1,1
"ENSG00000179403",15,25,13,18,33,35,330,411,745,554,990,1450
"ENSG00000215915",421,641,538,649,487,799,451,561,763,590,730,857
"ENSG00000160072",1605,2588,2053,2350,1748,2930,1578,2178,2890,2107,2468,2873
"ENSG00000284740",57,89,80,77,59,112,86,79,112,60,100,126
"ENSG00000197785",2705,4263,3612,3898,2904,5100,2816,3730,4921,3592,4507,5307
"ENSG00000205090",12,11,12,10,10,26,24,19,33,25,56,67
"ENSG00000160075",2956,5081,3781,3944,3559,6007,3680,4601,5980,4684,6148,7325
"ENSG00000215014",10,13,8,23,20,30,21,8,22,11,26,28
"ENSG00000274481",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228594",145,264,281,305,322,451,394,446,738,615,1079,1286
"ENSG00000286989",10,12,17,14,7,13,12,15,28,23,30,51
"ENSG00000272106",55,85,67,64,64,117,92,104,127,89,160,156
"ENSG00000197530",866,1321,1068,1237,1234,2048,1120,1383,2043,1357,1783,2518
"ENSG00000189409",32,42,37,34,30,51,29,22,67,39,39,71
"ENSG00000248333",2732,4667,3746,3631,3142,5804,2821,3744,5046,3666,5204,5626
"ENSG00000272004",0,5,6,1,0,1,3,5,1,6,3,4
"ENSG00000189339",2892,4885,3869,3829,3703,6291,2528,3366,5026,3511,5873,6655
"ENSG00000269737",35,36,29,32,28,75,16,26,58,34,51,73
"ENSG00000215914",24,38,33,31,28,44,27,17,54,35,43,60
"ENSG00000008128",254,403,344,328,286,535,264,369,508,305,544,526
"ENSG00000268575",13,41,16,25,37,43,14,20,50,26,46,52
"ENSG00000227775",313,431,385,405,406,590,232,313,493,308,547,603
"ENSG00000215790",427,630,613,526,624,872,357,471,685,519,819,838
"ENSG00000008130",2860,4758,3845,4074,3683,6185,2853,3802,5220,3867,5985,7075
"ENSG00000078369",17247,30904,24431,24277,22068,38257,21080,26801,35842,26831,36738,42621
"ENSG00000231050",20,27,19,19,20,22,11,10,19,14,26,17
"ENSG00000169885",0,0,0,0,2,1,0,1,2,2,1,1
"ENSG00000178821",31,52,55,58,76,118,47,56,79,59,96,153
"ENSG00000142609",7,2,7,1,2,12,3,2,6,3,11,6
"ENSG00000233542",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000187730",2,3,8,4,3,8,5,1,5,2,27,23
"ENSG00000226969",0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000067606",473,718,657,642,677,1176,388,552,717,547,834,1066
"ENSG00000271806",1,0,2,2,1,5,2,1,5,0,5,1
"ENSG00000182873",29,33,35,19,23,68,22,34,60,40,68,77
